participant,adjP,adjP10,adjP20,adjP30,condition,points,exploded.balloons,change,age,gender,overall,comfort,smoothness,accuracy,force,mental.effort,physical.effort,finger,wrist,arm,shoulder,neck,I.plan.tasks.carefully.,I.do.things.without.thinking.,I.make.up.my.mind.quickly.,I.am.happy.go.lucky.,I.don.t..pay.attention..,I.have..racing..thoughts.,I.plan.trips.well.ahead.of.time.,I.am.self.controlled.,I.concentrate.easily.,I.save.regularly.,I..squirm..at.plays.or.lectures.,I.am.a.careful.thinker.,I.plan.for.job.security.,I.say.things.without.thinking.,I.like.to.think.about.complex.problems.,I.change.jobs.,I.act..on.impulse..,I.get.easily.bored.when.solving.thought.problems.,I.act.on.the.spur.of.the.moment.,I.am.a.steady.thinker.,I.change.residences.,I.buy.things.on.impulse.,I.can.only.think.about.one.thing.at.a.time.,I.change.hobbies.,I.spend.or.charge.more.than.I.earn.,I.often.have.extraneous.thoughts.when.thinking.,I.am.more.interested.in.the.present.than.the.future.,I.am.restless.at.the.theater.or.lectures.,I.like.puzzles.,I.am.future.oriented.,BIS_index,BIS
55,61.0666666666667,53.5,62.2,71,constrictive,916,15,32.7102803738318,26,female,4,2,4,5,2,1,4,1,5,3,1,1,almost always / always,occasionally,almost always / always,often,often,often,often,occasionally,often,often,occasionally,often,rarely / never,often,almost always / always,occasionally,often,occasionally,often,often,often,often,rarely / never,often,often,occasionally,almost always / always,rarely / never,almost always / always,often,72,high
56,44.4705882352941,40.5,45.1666666666667,48.4,expansive,756,13,19.5061728395062,26,female,5,4,4,5,2,2,1,2,3,2,1,1,often,occasionally,often,occasionally,occasionally,often,rarely / never,occasionally,occasionally,occasionally,occasionally,often,rarely / never,rarely / never,almost always / always,occasionally,often,rarely / never,often,occasionally,often,almost always / always,rarely / never,occasionally,rarely / never,almost always / always,often,occasionally,almost always / always,occasionally,73,high
57,67.0714285714286,77,60.75,62.2,constrictive,939,16,-19.2207792207792,24,female,5,4,4,4,1,2,1,3,5,4,2,3,often,rarely / never,rarely / never,often,occasionally,often,often,often,often,often,often,often,often,occasionally,occasionally,occasionally,occasionally,occasionally,occasionally,often,occasionally,rarely / never,occasionally,occasionally,rarely / never,often,occasionally,often,occasionally,often,63,low
58,55.3333333333333,60,56,50,expansive,830,15,-16.6666666666667,21,female,4,4,5,4,1,3,1,2,1,1,1,1,occasionally,rarely / never,occasionally,almost always / always,occasionally,occasionally,often,often,often,often,occasionally,occasionally,occasionally,occasionally,occasionally,occasionally,occasionally,rarely / never,occasionally,occasionally,rarely / never,occasionally,rarely / never,occasionally,occasionally,occasionally,occasionally,rarely / never,almost always / always,occasionally,62,low
59,54.5,66.6,51.2,43.5,constrictive,763,16,-34.6846846846847,23,female,5,5,4,5,1,1,1,2,1,1,1,1,occasionally,occasionally,rarely / never,occasionally,often,often,occasionally,occasionally,occasionally,occasionally,rarely / never,often,rarely / never,often,often,rarely / never,often,rarely / never,often,occasionally,occasionally,often,often,rarely / never,often,occasionally,often,occasionally,rarely / never,occasionally,75,high
60,30.6190476190476,17,35.125,40.5,expansive,643,9,138.235294117647,20,female,5,3,5,3,3,5,2,2,1,1,1,1,occasionally,rarely / never,occasionally,occasionally,occasionally,often,almost always / always,occasionally,often,often,occasionally,often,occasionally,occasionally,occasionally,often,occasionally,occasionally,rarely / never,often,occasionally,occasionally,rarely / never,often,occasionally,almost always / always,occasionally,occasionally,often,often,65,high
61,64.25,64,51.25,77.5,constrictive,771,18,21.09375,26,female,5,1,5,5,1,2,1,4,5,3,3,2,occasionally,often,occasionally,occasionally,occasionally,often,occasionally,occasionally,occasionally,often,often,occasionally,occasionally,often,occasionally,often,often,occasionally,often,occasionally,occasionally,occasionally,occasionally,often,rarely / never,almost always / always,occasionally,often,often,occasionally,79,high
62,59.9411764705882,55,63.1666666666667,62,expansive,1019,13,12.7272727272727,23,female,5,5,5,5,1,1,1,1,1,1,1,1,occasionally,occasionally,often,often,occasionally,often,rarely / never,occasionally,often,almost always / always,occasionally,often,occasionally,often,occasionally,rarely / never,often,occasionally,often,occasionally,rarely / never,often,rarely / never,rarely / never,often,often,often,occasionally,almost always / always,occasionally,72,high
63,31.7142857142857,22,35.5,38,constrictive,666,9,72.7272727272727,23,female,4,3,3,4,3,1,2,1,1,3,3,4,occasionally,occasionally,often,occasionally,occasionally,occasionally,occasionally,occasionally,occasionally,often,almost always / always,occasionally,occasionally,occasionally,occasionally,often,often,rarely / never,often,occasionally,occasionally,often,occasionally,occasionally,occasionally,often,occasionally,almost always / always,rarely / never,occasionally,80,high
64,46.1578947368421,47.1428571428571,47.1666666666667,44,expansive,877,11,-6.66666666666667,21,female,5,5,5,4,1,2,1,2,2,3,2,1,occasionally,rarely / never,occasionally,often,occasionally,often,occasionally,often,often,often,occasionally,occasionally,occasionally,rarely / never,often,rarely / never,occasionally,occasionally,occasionally,rarely / never,often,often,occasionally,rarely / never,occasionally,almost always / always,occasionally,occasionally,rarely / never,almost always / always,69,high
